stationid,stationname,stationlatitude,stationlongitude,yyyy,mm,yyyymm,countoftripsstartinghere,countoftripsendinghere
3201,Dey St,40.737711,-74.066921,2019,01,2019-01,47,129
3210,Pershing Field,40.742677141,-74.051788633,2019,01,2019-01,316,301
3194,McGinley Square,40.7253399253558,-74.06762212514876,2019,01,2019-01,320,267
3193,Lincoln Park,40.7246050998869,-74.07840594649316,2019,01,2019-01,122,146
3198,Heights Elevator,40.748715945380226,-74.04044330120088,2019,01,2019-01,116,88
3483,Montgomery St,40.71942,-74.05099,2019,01,2019-01,230,219
3186,Grove St PATH,40.71958611647166,-74.0431174635887,2019,01,2019-01,2661,2986
3196,Riverview Park,40.7443187,-74.04399090000001,2019,01,2019-01,75,70
3191,Union St,40.71821129999999,-74.08363940000001,2019,01,2019-01,41,47
3639,Harborside,40.71925170000001,-74.034234,2019,01,2019-01,735,743
3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2019,01,2019-01,445,457
3481,York St,40.71649,-74.04105,2019,01,2019-01,179,172
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2019,01,2019-01,521,523
3640,Journal Square,40.733670000000004,-74.0625,2019,01,2019-01,437,422
3206,Hilltop,40.7311689,-74.0575736,2019,01,2019-01,149,96
3225,Baldwin at Montgomery,40.7236589,-74.0641943,2019,01,2019-01,216,200
3273,Manila & 1st,40.72165072487999,-74.04288411140442,2019,01,2019-01,394,455
3183,Exchange Place,40.7162469,-74.0334588,2019,01,2019-01,817,986
3681,Grand St,40.71517767732029,-74.03768330812454,2019,01,2019-01,284,293
3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,2019,01,2019-01,66,64
3211,Newark Ave,40.72152515,-74.046304543,2019,01,2019-01,557,592
3677,Glenwood Ave,40.72755146730012,-74.07106071710588,2019,01,2019-01,110,61
3275,Columbus Drive,40.71835519823214,-74.03891444206238,2019,01,2019-01,441,448
3185,City Hall,40.717732500000004,-74.04384499999999,2019,01,2019-01,503,567
3207,Oakland Ave,40.7376037,-74.05247829999999,2019,01,2019-01,318,173
3212,Christ Hospital,40.734785818,-74.050443636,2019,01,2019-01,135,105
3184,Paulus Hook,40.7141454,-74.0335519,2019,01,2019-01,367,403
3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,2019,01,2019-01,439,415
3267,Morris Canal,40.7124188237569,-74.03852552175522,2019,01,2019-01,400,388
3679,Bergen Ave,40.72210378668603,-74.07145500183104,2019,01,2019-01,150,121
3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,2019,01,2019-01,135,110
3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,2019,01,2019-01,486,468
3205,JC Medical Center,40.71653978099194,-74.0496379137039,2019,01,2019-01,289,285
3638,Washington St,40.7242941,-74.0354826,2019,01,2019-01,325,344
3220,5 Corners Library,40.73496102000952,-74.05950307846071,2019,01,2019-01,105,71
3678,Fairmount Ave,40.72572613742557,-74.07195925712584,2019,01,2019-01,186,139
3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,2019,01,2019-01,543,486
3213,Van Vorst Park,40.71848892,-74.047726625,2019,01,2019-01,407,379
3280,Astor Place,40.71928220070703,-74.07126188278198,2019,01,2019-01,238,247
3268,Lafayette Park,40.71346382669195,-74.06285852193831,2019,01,2019-01,105,102
3209,Brunswick St,40.7241765,-74.05065640000001,2019,01,2019-01,461,400
3279,Dixon Mills,40.72163014263835,-74.04996782541275,2019,01,2019-01,379,340
3214,Essex Light Rail,40.712774200000005,-74.03648570000001,2019,01,2019-01,331,327
3203,Hamilton Park,40.727595965999996,-74.044247311,2019,01,2019-01,994,1062
3187,Warren St,40.721123600000006,-74.03805095,2019,01,2019-01,411,398
3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2019,01,2019-01,437,378
3694,Jackson Square,40.71113,-74.0789,2019,01,2019-01,32,24
3195,Sip Ave,40.730742625306576,-74.06391263008119,2019,01,2019-01,1111,1065
3426,JCBS Depot,40.70965083364061,-74.0686011314392,2019,01,2019-01,6,9
3192,Liberty Light Rail,40.711242299999995,-74.0557013,2019,01,2019-01,288,307
3202,Newport PATH,40.7272235,-74.03375890000001,2019,01,2019-01,816,798
3201,Dey St,40.737711,-74.066921,2019,02,2019-02,52,99
3210,Pershing Field,40.742677141,-74.051788633,2019,02,2019-02,270,243
3194,McGinley Square,40.7253399253558,-74.06762212514876,2019,02,2019-02,299,244
3193,Lincoln Park,40.7246050998869,-74.07840594649316,2019,02,2019-02,140,159
3198,Heights Elevator,40.748715945380226,-74.04044330120088,2019,02,2019-02,102,91
3483,Montgomery St,40.71942,-74.05099,2019,02,2019-02,247,257
3186,Grove St PATH,40.71958611647166,-74.0431174635887,2019,02,2019-02,2447,2774
3196,Riverview Park,40.7443187,-74.04399090000001,2019,02,2019-02,68,54
3191,Union St,40.71821129999999,-74.08363940000001,2019,02,2019-02,28,30
3639,Harborside,40.71925170000001,-74.034234,2019,02,2019-02,676,696
3199,Newport Pkwy,40.728744799999994,-74.03210820000001,2019,02,2019-02,368,426
3481,York St,40.71649,-74.04105,2019,02,2019-02,176,184
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2019,02,2019-02,491,513
